,VESSEL,IMO,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,HAZMAT,IMPORT_DWELL,IMPORT_DWELL_SCALED,RF,Container_Size,IS_WEEKEND
133,MOL MODERN,9475636,PUSAN,CHARLESTON,2019-11-15 05:34:00,2019-11-20 14:22:00,0,128.8,9.914332326483095,0,1,0
134,NYK VESTA,9312808,OAKLAND,TOKYO,2019-10-15 15:39:00,2019-10-18 14:08:00,0,70.48333333333333,7.890805513150103,0,0,0
135,YM EXPRESS,9496628,NEW YORK,ROTTERDAM,2019-10-09 21:43:00,2019-10-11 16:25:00,0,42.7,6.438450840964393,0,1,0
136,YM UTILITY,9337470,HONG KONG,SAVANNAH,2019-11-13 09:15:00,2019-11-14 11:49:00,0,26.566666666666666,5.230439158853321,0,1,0
137,SEASPAN ZAMBEZI,9630406,QINGDAO,SAVANNAH,2019-11-25 04:29:00,2019-11-29 13:13:00,0,104.73333333333333,9.183294729617026,0,1,0
138,MOL MANEUVER,9475648,TOKYO,SAVANNAH,2019-10-30 12:00:00,2019-10-31 10:49:00,0,22.816666666666666,4.874212437951161,0,1,0
139,MOL MANEUVER,9475648,TOKYO,SAVANNAH,2019-10-30 12:00:00,2019-10-31 11:41:00,0,23.683333333333334,4.960160710478146,0,1,0
140,MOL MANEUVER,9475648,TOKYO,SAVANNAH,2019-10-30 12:00:00,2019-10-31 10:09:00,0,22.15,4.806451702509398,0,1,0
141,MOL MANEUVER,9475648,TOKYO,SAVANNAH,2019-10-30 12:00:00,2019-10-31 13:25:00,0,25.416666666666668,5.12535490000187,0,1,0
142,MOL MANEUVER,9475648,TOKYO,SAVANNAH,2019-10-30 12:00:00,2019-10-31 11:40:00,0,23.666666666666668,4.9585298252668535,0,0,0
143,MOL MANEUVER,9475648,TOKYO,SAVANNAH,2019-10-30 12:00:00,2019-10-31 14:19:00,0,26.316666666666666,5.207883203356759,0,1,0
144,MOL MODERN,9475636,PUSAN,CHARLESTON,2019-11-15 05:34:00,2019-11-18 14:11:00,0,80.61666666666666,8.314050483590055,0,1,0
145,SEATTLE BRIDGE,9560352,NHAVA SHEVA,LONG BEACH,2019-11-14 06:09:00,2019-11-19 16:42:00,0,130.55,9.963438367306907,0,1,0
146,NYK ALTAIR,9468308,QINGDAO,LONG BEACH,2019-11-08 05:30:00,2019-11-15 11:52:00,0,174.36666666666667,11.059967699649052,0,1,0
147,NYK ALTAIR,9468308,QINGDAO,LONG BEACH,2019-11-08 05:30:00,2019-11-14 14:50:00,0,153.33333333333334,10.562502591915454,0,1,0
148,NYK ORPHEUS,9313008,KOBE,LOS ANGELES,2019-10-27 15:14:00,2019-10-30 14:18:00,0,71.06666666666666,7.916342460223932,0,1,1
149,FRANKFURT EXPRESS,9450442,HONG KONG,SEATTLE,2019-10-31 17:34:00,2019-11-07 07:40:00,0,158.1,10.679439419948782,0,0,0
150,NYK ARGUS,9262716,NHAVA SHEVA,LONG BEACH,2019-11-22 06:52:00,2019-12-02 08:12:00,0,241.33333333333334,12.396175785058732,0,1,0
151,KYOTO EXPRESS,9295256,NHAVA SHEVA,NEW YORK,2019-11-06 22:59:00,2019-11-11 09:52:00,0,106.88333333333334,9.253347340781806,0,0,0
152,KYOTO EXPRESS,9295256,MUNDRA,CHARLESTON,2019-11-18 12:36:00,2019-11-19 13:17:00,0,24.683333333333334,5.056507527597801,0,0,0
153,YM WIND,9708461,HO CHI MINH,NEW YORK,2019-11-09 08:29:00,2019-11-12 15:34:00,0,79.08333333333333,8.252616146177328,0,1,1
154,SEASPAN ZAMBEZI,9630406,PUSAN,NEW YORK,2019-11-13 16:59:00,2019-11-19 15:14:00,0,142.25,10.27989915244984,0,0,0
155,KYOTO EXPRESS,9295256,NHAVA SHEVA,SAVANNAH,2019-11-16 23:04:00,2019-11-20 16:27:00,0,89.38333333333334,8.649717472520651,1,1,1
156,ATHOS,9406738,QINGDAO,SAVANNAH,2019-11-29 10:59:00,2019-12-05 15:01:00,0,148.03333333333333,10.42930369138128,0,0,0
157,SEATTLE BRIDGE,9560352,PORT KLANG,LONG BEACH,2019-11-14 06:09:00,2019-11-18 23:30:00,0,113.35,9.457994168421857,0,1,0
158,MOL MODERN,9475636,SHANGHAI,CHARLESTON,2019-11-15 05:34:00,2019-11-20 13:29:00,0,127.91666666666667,9.88935914599467,0,0,0
159,SEASPAN ZAMBEZI,9630406,PUSAN,NEW YORK,2019-11-13 16:59:00,2019-11-14 14:56:00,0,21.95,4.7858316807017145,0,1,0
160,SEASPAN HUDSON,9630418,HONG KONG,NEW YORK,2019-11-15 05:29:00,2019-11-19 09:01:00,0,99.53333333333333,9.009388200477233,0,0,0
161,SEASPAN HUDSON,9630418,HONG KONG,NEW YORK,2019-11-15 05:29:00,2019-11-18 15:09:00,0,81.66666666666667,8.35562627064105,0,0,0
162,MOL MODERN,9475636,SHANGHAI,SAVANNAH,2019-11-12 07:25:00,2019-11-13 10:59:00,0,27.566666666666666,5.319134000762625,0,1,0
163,MOL MODERN,9475636,SHANGHAI,SAVANNAH,2019-11-12 07:25:00,2019-11-13 15:32:00,0,32.11666666666667,5.695214662917938,0,0,0
164,MOL MODERN,9475636,SHANGHAI,SAVANNAH,2019-11-12 07:25:00,2019-11-13 09:50:00,0,26.416666666666668,5.216924392955292,0,1,0
165,MOL MODERN,9475636,SHANGHAI,SAVANNAH,2019-11-12 07:25:00,2019-11-14 09:49:00,0,50.4,6.897675170771351,0,1,0
166,SEASPAN ZAMBEZI,9630406,PUSAN,NEW YORK,2019-11-13 16:59:00,2019-11-18 18:54:00,0,121.91666666666667,9.716288872414655,0,0,0
167,SEASPAN HUDSON,9630418,HONG KONG,NEW YORK,2019-11-15 05:29:00,2019-11-19 07:33:00,0,98.06666666666666,8.959133819786002,0,0,0
