,HAZMAT,IS_WEEKEND,Vessel_size_category,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO,Predicted,Error,Absolute Error,Actual
332,0,0,2,56.25,41.09047619047619,3237,3,0.0681818181818181,0.0204081632653061,110.86051060299296,-3.97717726965962,3.97717726965962,106.88333333333334
934,0,1,0,84.31666666666666,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,119.85473550564221,-20.538068838975548,20.538068838975548,99.31666666666666
227,0,0,0,38.91666666666666,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,91.85935502291923,39.70731164374743,39.70731164374743,131.56666666666666
829,0,0,2,156.56666666666666,117.2535460992908,1325,1,1.0,1.0,345.4505957872989,-13.800595787298903,13.800595787298903,331.65
895,0,1,0,88.66666666666667,98.04411764705884,49,1,1.0,1.0,106.57574070836456,-20.29240737503123,20.29240737503123,86.28333333333333
832,0,1,2,20.4,19.226530612244897,760,1,1.0,1.0,45.99301343376904,-13.243013433769043,13.243013433769043,32.75
465,0,0,2,98.75,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,130.47383319088732,16.692833475779338,16.692833475779338,147.16666666666666
361,0,1,2,25.83333333333333,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,136.0257266072148,-49.75905994054814,49.75905994054814,86.26666666666667
334,0,1,2,25.0,29.420617283950616,2088,1,1.0,1.0,71.74849739516533,17.63483593816801,17.63483593816801,89.38333333333334
433,1,0,2,26.5,29.420617283950616,2088,1,1.0,1.0,143.8937718944679,20.306228105532085,20.306228105532085,164.2
879,0,0,2,21.5,24.482582582582584,4850,3,0.2777777777777778,0.2297297297297297,71.79681218908412,2.853187810915884,2.853187810915884,74.65
468,1,0,2,98.75,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,131.7155363859347,-15.648869719268049,15.648869719268049,116.06666666666666
7,0,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,67.77860870460924,85.28805796205742,85.28805796205742,153.06666666666666
155,0,0,2,21.916666666666668,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,69.81836037570277,-29.685027042369434,29.685027042369434,40.13333333333333
522,0,1,0,47.583333333333336,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,40.43885974483032,2.9944735885030127,2.9944735885030127,43.43333333333333
405,0,0,0,124.06666666666666,117.2535460992908,1325,1,1.0,1.0,156.84253928533155,-36.37587261866487,36.37587261866487,120.46666666666668
