SHIPMENTID,VESSEL,IMO,VOYAGE#,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,EQUIPMENTTYPECODE,HAZMAT,GROSS_WEIGHT,weight_uom
376790,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,15-09-2020 03:39,40ST,N,,
378224,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,16-09-2020 01:54,40ST,N,,
378658,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,15-09-2020 05:37,40ST,N,,
380416,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,16-09-2020 04:22,40ST,N,,
380634,SEASPAN BRILLIANCE,9685334,039E,HAI PHONG,VANCOUVER,28-07-2020 01:18,02-08-2020 10:44,40HC,N,,
381356,SEASPAN YANGTZE,9630389,011W,VANCOUVER,SHANGHAI,12-09-2020 21:30,16-09-2020 00:43,40HC,N,,
382697,KUALA LUMPUR EXPRESS,9343730,084E,NINGBO,LOS ANGELES,23-08-2020 04:11,02-09-2020 16:35,40HC,N,,
382703,KUALA LUMPUR EXPRESS,9343730,084E,NINGBO,LOS ANGELES,23-08-2020 04:11,26-08-2020 01:31,40HC,N,,
382707,KUALA LUMPUR EXPRESS,9343730,084E,NINGBO,LOS ANGELES,23-08-2020 04:11,26-08-2020 01:10,40HC,N,,
382711,KUALA LUMPUR EXPRESS,9343730,084E,NINGBO,LOS ANGELES,23-08-2020 04:11,01-09-2020 19:50,40HC,N,,
383077,NAGOYA EXPRESS,9450428,060W,VANCOUVER,SHANGHAI,03-10-2020 14:30,05-10-2020 09:38,40ST,N,,
383092,HMM PROMISE,9742168,016W,VANCOUVER,SHANGHAI,28-09-2020 13:10,01-10-2020 21:55,40ST,N,,
383259,NAGOYA EXPRESS,9450428,060W,VANCOUVER,SHANGHAI,03-10-2020 14:30,13-10-2020 22:30,40ST,N,,
383439,YM WARMTH,9704647,024E,SURABAYA,NEW YORK,19-08-2020 10:49,21-08-2020 07:51,20ST,N,,
386198,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,13-10-2020 13:50,40HC,N,,
386203,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,13-10-2020 01:06,40HC,N,,
386204,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,10-10-2020 20:03,40ST,N,,
386205,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,12-10-2020 09:22,40ST,N,,
386206,FRANKFURT EXPRESS,9450442,065W,VANCOUVER,SHANGHAI,01-10-2020 01:00,12-10-2020 19:46,40ST,N,,
387691,YM MODERATION,9664897,051W,VANCOUVER,SHANGHAI,27-09-2020 08:30,23-10-2020 18:00,40ST,N,,
